log_dir,distinct_subplot_count,subplot_ids
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_051_1/annotations/t2v_notebook_true/annotation_0000_log,1.0,['4442533536_5508061504']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_053_1/annotations/t2v_notebook_true/annotation_0000_log,0.0,[]
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_055_1/annotations/t2v_notebook_true/annotation_0000_log,1.0,['4843098224_6046161360']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_057_1/annotations/t2v_notebook_true/annotation_0000_log,6.0,"['4654468416_6077331744', '4654468416_6078615424', '4654468416_6078271456', '4654468416_6078081040', '4654468416_6077919072', '4654468416_6077321424']"
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_060_1/annotations/t2v_notebook_true/annotation_0000_log,1.0,['5167020512_5167296880']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_060_2/annotations/t2v_notebook_true/annotation_0000_log,5.0,"['5438301312_5440079392', '5438301312_5438924960', '5438301312_5439720192', '5438301312_5439534192', '5438301312_4842578928']"
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_062_1/annotations/t2v_notebook_true/annotation_0000_log,8.0,"['4427469104_4964289664', '4427469104_4963528496', '4427469104_4964533648', '4427469104_4963883184', '4427469104_4963655584', '4427469104_4964153296', '4427469104_4964038080', '4427469104_4963650064']"
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_066_1/annotations/t2v_notebook_true/annotation_0000_log,1.0,['4491633456_5242357760']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_067_1/annotations/t2v_notebook_true/annotation_0000_log,2.0,"['5938127760_5940312928', '5938127760_5940300976']"
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_068_1/annotations/t2v_notebook_true/annotation_0000_log,1.0,['5875735232_5875932176']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_069_1/annotations/t2v_notebook_true/annotation_0000_log,10.0,"['4470301824_5174507904', '4470301824_5173682512', '4470301824_5175054400', '4470301824_5173929520', '4470301824_5173934560', '4470301824_5175059680', '4470301824_5173931152', '4470301824_5174719600', '4470301824_5175387744', '4470301824_5173678048']"
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_070_1/annotations/t2v_notebook_true/annotation_0000_log,2.0,"['4421868704_5180663776', '4421868704_5180929856']"
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_072_1/annotations/t2v_notebook_true/annotation_0000_log,1.0,['4400061696_5581441600']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_072_2/annotations/t2v_notebook_true/annotation_0000_log,1.0,['4578533520_4951066816']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_073_1/annotations/t2v_notebook_true/annotation_0000_log,1.0,['5016703904_5024303296']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_076_1/annotations/t2v_notebook_true/annotation_0000_log,3.0,"['4717468400_6014732624', '4717468400_6014953536', '4717468400_6014732576']"
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_076_2/annotations/t2v_notebook_true/annotation_0000_log,2.0,"['4662672848_5232688640', '4662672848_5232539024']"
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_077_1/annotations/t2v_notebook_true/annotation_0000_log,1.0,['4421952496_5098898976']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_078_1/annotations/t2v_notebook_true/annotation_0000_log,1.0,['5714170352_5714331072']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_084_1/annotations/t2v_notebook_true/annotation_0000_log,1.0,['4384858592_5547853872']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_085_1/annotations/t2v_notebook_true/annotation_0000_log,1.0,['4500790720_5412425264']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_087_1/annotations/t2v_notebook_true/annotation_0000_log,1.0,['4660741088_4970679088']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_090_1/annotations/t2v_notebook_true/annotation_0000_log,0.0,[]
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_090_2/annotations/t2v_notebook_true/annotation_0000_log,0.0,[]
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_091_1/annotations/t2v_notebook_true/annotation_0000_log,6.0,"['5609298864_5611698752', '5609298864_5609755072', '5609298864_5611145072', '5609298864_5609959024', '5609298864_5609755120', '5609298864_5610594448']"
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_093_1/annotations/t2v_notebook_true/annotation_0000_log,3.0,"['4421770256_5157301584', '4421770256_5159808720', '4421770256_5157690144']"
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_094_1/annotations/t2v_notebook_true/annotation_0000_log,8.0,"['4708518848_5573098912', '5573296592_5575511072', '5575513664_5575635984', '5575980816_5576448608', '5576650976_5576886992', '4488612512_5576103584', '5575509392_5576043088', '5053859600_5573087872']"
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_095_1/annotations/t2v_notebook_true/annotation_0000_log,1.0,['4390978000_4905109456']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_096_1/annotations/t2v_notebook_true/annotation_0000_log,1.0,['4556889200_5582822080']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_096_2/annotations/t2v_notebook_true/annotation_0000_log,18.0,"['4426734656_4963539120', '4426734656_4963327424', '4426734656_4963323344', '4426734656_4965490352', '4426734656_5100511520', '4426734656_5101304192', '4426734656_5100909296', '4426734656_4965308064', '4426734656_5100693376', '4426734656_5101712976', '4426734656_4963723280', '4426734656_4963323392', '4426734656_4963326560', '4426734656_4963326656', '4426734656_4965488384', '4426734656_4963325360', '4426734656_5101515120', '4426734656_4964120912']"
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_098_1/annotations/t2v_notebook_true/annotation_0000_log,4.0,"['4420898928_4870522688', '4420898928_5136903984', '4420898928_5137453456', '4420898928_5136506064']"
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_099_1/annotations/t2v_notebook_true/annotation_0000_log,1.0,['5137523456_5155905824']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_100_1/annotations/t2v_notebook_true/annotation_0000_log,5.0,"['4560164992_5370515664', '4560164992_5370347344', '4560164992_5370746096', '4560164992_5371550256', '4560164992_5370743120']"
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_101_1/annotations/t2v_notebook_true/annotation_0000_log,1.0,['4423353024_5367699584']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_102_1/annotations/t2v_notebook_true/annotation_0000_log,1.0,['4433773488_4973054000']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_103_1/annotations/t2v_notebook_true/annotation_0000_log,2.0,"['4489916784_5405101184', '4489916784_5405105504']"
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_104_1/annotations/t2v_notebook_true/annotation_0000_log,1.0,['4891941568_4889776720']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_105_1/annotations/t2v_notebook_true/annotation_0000_log,1.0,['5440559568_5440752624']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_106_1/annotations/t2v_notebook_true/annotation_0000_log,1.0,['4428092896_5185985120']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_106_2/annotations/t2v_notebook_true/annotation_0000_log,1.0,['4365983600_5405330272']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_107_1/annotations/t2v_notebook_true/annotation_0000_log,0.0,[]
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_108_1/annotations/t2v_notebook_true/annotation_0000_log,6.0,"['4360542960_4876712368', '4360542960_4875553392', '4360542960_4875806928', '4360542960_4875557808', '4360542960_4875806304', '4360542960_4876530080']"
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_111_1/annotations/t2v_notebook_true/annotation_0000_log,1.0,['4672067760_6241267600']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_112_1/annotations/t2v_notebook_true/annotation_0000_log,1.0,['4664703984_5715495008']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_117_1/annotations/t2v_notebook_true/annotation_0000_log,1.0,['6094020560_6096633536']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_117_1/annotations/t2v_notebook_true/annotation_0001_log,1.0,['5372894032_5372892256']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_119_1/annotations/t2v_notebook_true/annotation_0000_log,2.0,"['4515693968_5343317072', '4515693968_5343317120']"
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_121_1/annotations/t2v_notebook_true/annotation_0000_log,18.0,"['4488145632_4941985072', '4488145632_4943322512', '4488145632_4943671520', '4488145632_4944295408', '4488145632_4941648656', '4488145632_4942739408', '4488145632_4941981328', '4488145632_4941037744', '4488145632_4941832624', '4488145632_4941448880', '4488145632_4940903440', '4488145632_4941837760', '4488145632_4942363344', '4488145632_4943471696', '4488145632_4940898976', '4488145632_4941451136', '4488145632_4944067856', '4488145632_4943865872']"
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_121_2/annotations/t2v_notebook_true/annotation_0000_log,1.0,['4822101136_4822242688']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_122_1/annotations/t2v_notebook_true/annotation_0000_log,1.0,['5359620928_5605379776']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_133_1/annotations/t2v_notebook_true/annotation_0000_log,1.0,['4572661184_5741694368']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_134_1/annotations/t2v_notebook_true/annotation_0000_log,1.0,['4948434032_4390899872']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_135_1/annotations/t2v_notebook_true/annotation_0000_log,4.0,"['4600872016_5609156064', '4600872016_5608906944', '4600872016_5609289968', '4600872016_5608904016']"
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_137_1/annotations/t2v_notebook_true/annotation_0000_log,1.0,['4943549920_4943678160']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_139_1/annotations/t2v_notebook_true/annotation_0000_log,2.0,"['4395193968_4962415872', '4395193968_5374921232']"
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_140_1/annotations/t2v_notebook_true/annotation_0000_log,2.0,"['5265636768_5267837328', '5265636768_5267837376']"
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_140_2/annotations/t2v_notebook_true/annotation_0000_log,1.0,['4394239472_5121609216']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_144_1/annotations/t2v_notebook_true/annotation_0000_log,3.0,"['4569439872_5611686176', '4569439872_5612692656', '4569439872_5611902960']"
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_145_1/annotations/t2v_notebook_true/annotation_0000_log,1.0,['5366691744_5749872576']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_147_1/annotations/t2v_notebook_true/annotation_0000_log,1.0,['4390981552_5275336000']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_148_1/annotations/t2v_notebook_true/annotation_0000_log,4.0,"['4364540224_5545557312', '4364540224_5545552176', '4364540224_5545319440', '4364540224_5545314976']"
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_149_1/annotations/t2v_notebook_true/annotation_0000_log,3.0,"['4566276272_5620736912', '4566276272_5604345904', '4566276272_5365754832']"
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_151_1/annotations/t2v_notebook_true/annotation_0000_log,6.0,"['4515781840_5087988048', '4515781840_5087992128', '4515781840_5088239472', '4515781840_5088967904', '4515781840_5089325808', '4515781840_5088765152']"
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_152_1/annotations/t2v_notebook_true/annotation_0000_log,2.0,"['4501631248_4889402192', '4501631248_4889406416']"
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_159_1/annotations/t2v_notebook_true/annotation_0000_log,1.0,['4971100880_4969466096']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_159_1/annotations/t2v_notebook_true/annotation_0001_log,1.0,['5420722000_5407782528']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_159_1/annotations/t2v_notebook_true/annotation_0002_log,1.0,['5353223616_5240142688']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_162_1/annotations/t2v_notebook_true/annotation_0000_log,1.0,['4392195984_5099915744']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_169_1/annotations/t2v_notebook_true/annotation_0000_log,3.0,"['5492694944_5494198240', '5492694944_5493018448', '5492694944_5496656416']"
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_174_1/annotations/t2v_notebook_true/annotation_0000_log,1.0,['4817637776_4824814160']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_175_1/annotations/t2v_notebook_true/annotation_0000_log,1.0,['4361526480_4912052992']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_177_1/annotations/t2v_notebook_true/annotation_0000_log,1.0,['4488346752_5415391824']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_178_1/annotations/t2v_notebook_true/annotation_0000_log,1.0,['5216801408_5438757088']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_179_1/annotations/t2v_notebook_true/annotation_0000_log,1.0,['4904147936_4903956224']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_180_1/annotations/t2v_notebook_true/annotation_0000_log,1.0,['4454150368_5807065760']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_182_1/annotations/t2v_notebook_true/annotation_0000_log,6.0,"['4985342480_5000455440', '4985342480_5001870512', '4985342480_5002419168', '4985342480_5000460144', '4985342480_5002054064', '4985342480_5000455392']"
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_182_2/annotations/t2v_notebook_true/annotation_0000_log,1.0,['5018547312_5092637056']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_184_1/annotations/t2v_notebook_true/annotation_0000_log,3.0,"['5134563616_5134741104', '5134563616_5135940352', '5134563616_5134745184']"
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_184_2/annotations/t2v_notebook_true/annotation_0000_log,2.0,"['5091356512_5269380112', '5091356512_4656760256']"
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_187_1/annotations/t2v_notebook_true/annotation_0000_log,1.0,['6063889424_6073113184']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_188_1/annotations/t2v_notebook_true/annotation_0000_log,6.0,"['4963546320_4965605856', '4963546320_4965776560', '4963546320_4964447824', '4963546320_4965234640', '4963546320_4965224272', '4963546320_4964447872']"
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_189_1/annotations/t2v_notebook_true/annotation_0000_log,0.0,[]
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_191_1/annotations/t2v_notebook_true/annotation_0000_log,1.0,['4524204176_5241673664']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_191_2/annotations/t2v_notebook_true/annotation_0000_log,1.0,['5050645248_5874846032']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_193_1/annotations/t2v_notebook_true/annotation_0000_log,2.0,"['4971543440_5054910240', '4971543440_5054908512']"
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_195_1/annotations/t2v_notebook_true/annotation_0000_log,1.0,['4429649136_4961553584']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_197_1/annotations/t2v_notebook_true/annotation_0000_log,4.0,"['4367751536_5225168432', '4367751536_5225164016', '4367751536_5225731024', '4367751536_5225360336']"
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_198_1/annotations/t2v_notebook_true/annotation_0000_log,2.0,"['5088073136_5844695280', '4537994512_5842159856']"
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_200_1/annotations/t2v_notebook_true/annotation_0000_log,0.0,[]
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_200_2/annotations/t2v_notebook_true/annotation_0000_log,1.0,['5454275280_5454454112']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_200_3/annotations/t2v_notebook_true/annotation_0000_log,1.0,['5536774240_5537308624']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_206_1/annotations/t2v_notebook_true/annotation_0000_log,0.0,[]
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_207_1/annotations/t2v_notebook_true/annotation_0000_log,1.0,['4361936944_5278714240']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_209_1/annotations/t2v_notebook_true/annotation_0000_log,1.0,['5342846928_5344938464']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_210_1/annotations/t2v_notebook_true/annotation_0000_log,3.0,"['4397564560_4541152048', '4397564560_4971213984', '4397564560_4984284528']"
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_216_1/annotations/t2v_notebook_true/annotation_0000_log,1.0,['4360929792_5253008176']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_219_1/annotations/t2v_notebook_true/annotation_0000_log,4.0,"['5209365088_5205324480', '5209365088_5206243760', '5209365088_5211986576', '5209365088_5209977824']"
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_222_1/annotations/t2v_notebook_true/annotation_0000_log,2.0,"['4392946816_4930213008', '4392946816_4930217232']"
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_224_1/annotations/t2v_notebook_true/annotation_0000_log,6.0,"['4568378944_5608619472', '4568378944_5608608864', '4568378944_5608009328', '4568378944_5608005008', '4568378944_5608730896', '4568378944_5608898784']"
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_229_1/annotations/t2v_notebook_true/annotation_0000_log,2.0,"['4459535280_5070202656', '4459535280_5070002688']"
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_233_1/annotations/t2v_notebook_true/annotation_0000_log,2.0,"['6276606208_6276530048', '6276606208_6276448720']"
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_235_1/annotations/t2v_notebook_true/annotation_0000_log,1.0,['4389247584_4933018848']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_238_1/annotations/t2v_notebook_true/annotation_0000_log,18.0,"['5667603952_5668640176', '5667206112_5670301440', '4400670880_5667617536', '5666593664_5667996496', '5666755536_5669434480', '5670466384_5758786960', '5666602928_5760842496', '5758582960_5759757264', '5668881568_5761465088', '5669345120_5665667360', '5471394208_5669893520', '5666985824_5669057600', '4400670928_5666586704', '5665384080_5665658720', '5759257968_5759754000', '5669236816_5668895488', '5759927792_5760508576', '5667997552_5666662800']"
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_239_1/annotations/t2v_notebook_true/annotation_0000_log,4.0,"['4589324432_6078556368', '4589324432_6078319744', '4589324432_6276477248', '4589324432_6078324208']"
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_241_1/annotations/t2v_notebook_true/annotation_0000_log,1.0,['4402150048_5209033472']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_242_1/annotations/t2v_notebook_true/annotation_0000_log,1.0,['5265278208_5270097648']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_243_1/annotations/t2v_notebook_true/annotation_0000_log,3.0,"['4561838896_5840331808', '4561838896_5840515872', '4561838896_5840515680']"
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_244_1/annotations/t2v_notebook_true/annotation_0000_log,1.0,['4709871504_5313268768']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_245_1/annotations/t2v_notebook_true/annotation_0000_log,3.0,"['4430086064_6047643024', '4430086064_6049350576', '4430086064_5476398336']"
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_246_1/annotations/t2v_notebook_true/annotation_0000_log,8.0,"['5556280912_5559171600', '5556280912_5559172128', '5556280912_5564858640', '5556280912_5562824848', '5556280912_5564315888', '5556280912_5569135824', '5556280912_5558758592', '5556280912_5562983264']"
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_250_1/annotations/t2v_notebook_true/annotation_0000_log,6.0,"['5575877184_5593986832', '5575877184_5600351808', '5575877184_5593983712', '5575877184_5599821168', '5575877184_5599996352', '5575877184_5599819200']"
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_252_1/annotations/t2v_notebook_true/annotation_0000_log,1.0,['5370062960_5370907632']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_253_1/annotations/t2v_notebook_true/annotation_0000_log,1.0,['5253863216_5254007456']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_262_1/annotations/t2v_notebook_true/annotation_0000_log,2.0,"['4364952464_6078374272', '4364952464_6078374320']"
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_266_1/annotations/t2v_notebook_true/annotation_0000_log,1.0,['5211754032_6040964176']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_267_1/annotations/t2v_notebook_true/annotation_0000_log,1.0,['4404790480_6245387056']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_268_1/annotations/t2v_notebook_true/annotation_0000_log,1.0,['5057893904_5058006240']
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_269_1/annotations/t2v_notebook_true/annotation_0000_log,3.0,"['4589334272_6019050544', '4589334272_6019282320', '4589334272_6019046128']"
/Users/nngu0448/Documents/data/REDCap-VisReflect/Version_1/round_1/sample_270_1/annotations/t2v_notebook_true/annotation_0000_log,1.0,['5633730240_5633105968']
